segment,segment_name,ranking,Short,Long,numerator_denominator,Table Number,Table Name
1,"High education and income, focus on health",1,P_85_ov_Prvided_unpaid_assist,PERSONS_85_years_and_over_Provided_unpaid_assistance,P_85_ov_Prvided_unpaid_assist|P_85_ov_Tot,G25,Unpaid Assistance to a Person with a Disability Health Condition or Due to Old Age by Age by Sex
1,"High education and income, focus on health",1,P_0_cond_75_84,PERSONS_Count_of_selected_long_term_health_conditions_None_of_the_selected_conditions_Age_75_84_years,P_0_cond_75_84|P_Tot_75_84,G20,Count of Selected Long-Term Health Conditions by Age by Sex
1,"High education and income, focus on health",1,P_65_74_Prvided_unpaid_assist,PERSONS_65_74_years_Provided_unpaid_assistance,P_65_74_Prvided_unpaid_assist|P_65_74_Tot,G25,Unpaid Assistance to a Person with a Disability Health Condition or Due to Old Age by Age by Sex
1,"High education and income, focus on health",1,CF_ChU15_a_DSs_a_no_NdCh_F,Couple_family_with_children_under_15_and_dependent_students_and_no_non_dependent_children_Families,CF_ChU15_a_DSs_a_no_NdCh_F|CF_Total_F,G29,Family Composition
1,"High education and income, focus on health",1,CF_ChU15_a_DSs_a_no_NdCh_P,Couple_family_with_children_under_15_and_dependent_students_and_no_non_dependent_children_Persons,CF_ChU15_a_DSs_a_no_NdCh_P|CF_Total_P,G29,Family Composition
1,"High education and income, focus on health",1,CF_no_ChU15_a_DSs_a_no_NdCh_F,Couple_family_with_no_children_under_15_and_with_dependent_students_and_no_non_dependent_children_Families,CF_no_ChU15_a_DSs_a_no_NdCh_F|CF_Total_F,G29,Family Composition
1,"High education and income, focus on health",1,CF_no_ChU15_a_DSs_a_no_NdCh_P,Couple_family_with_no_children_under_15_and_with_dependent_students_and_no_non_dependent_children_Persons,CF_no_ChU15_a_DSs_a_no_NdCh_P|CF_Total_P,G29,Family Composition
1,"High education and income, focus on health",1,HI_4000_more_Fam_households,4000_or_more_Family_households,HI_4000_more_Fam_households|Tot_Family_households,G33,Total Household Income (Weekly) by Household Composition
1,"High education and income, focus on health",1,M_4000_over_Tot,4000_and_over_Total,M_4000_over_Tot|Tot_Tot,G38,Mortgage Repayment (Monthly) by Dwelling Structure
1,"High education and income, focus on health",1,M_5000over_CF_C_und15,5000_and_over_Couple_family_with_Children_under_15,M_5000over_CF_C_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",1,P_3500_more_Tot,PERSONS_3500_or_more_Total,P_3500_more_Tot|P_Tot_Tot,G17,Total Personal Income (Weekly) by Age by Sex
1,"High education and income, focus on health",1,M_5000over_CFNC_und15,5000_and_over_Couple_family_with_No_children_under_15,M_5000over_CFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",1,M_5000over_1PFNC_und15,5000_and_over_One_parent_family_with_No_children_under_15,M_5000over_1PFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",1,Separate_house_NofB_5,Separate_house_Number_of_bedrooms_Five_bedrooms,Separate_house_NofB_5|Separate_house_Total,G41,Dwelling Structure by Number of Bedrooms
1,"High education and income, focus on health",1,Separate_house_NofB_6_or_m,Separate_house_Number_of_bedrooms_Six_bedrooms_or_more,Separate_house_NofB_6_or_m|Separate_house_Total,G41,Dwelling Structure by Number of Bedrooms
1,"High education and income, focus on health",1,Total_NofB_5,Total_Number_of_bedrooms_Five_bedrooms,Total_NofB_5|Total_Total,G41,Dwelling Structure by Number of Bedrooms
1,"High education and income, focus on health",1,non_sch_qual_Gr_Dip_Gr_Crt_P,Highest_non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Persons,non_sch_qual_Gr_Dip_Gr_Crt_P|lfs_Tot_LF_P,G43,Selected Labour Force Education and Migration Characteristics by Sex
1,"High education and income, focus on health",1,non_sch_qual_Bchelr_Degree_P,Highest_non_school_qualifications_Bachelor_Degree_Level_Persons,non_sch_qual_Bchelr_Degree_P|lfs_Tot_LF_P,G43,Selected Labour Force Education and Migration Characteristics by Sex
1,"High education and income, focus on health",1,P_BachDeg_Total,PERSONS_Bachelor_Degree_Level_Total,P_BachDeg_Total|P_Tot_Total,G49,Highest Non-School Qualification:  Level of Education by Age by Sex
1,"High education and income, focus on health",1,P_Health_Tot,PERSONS_Health_Total,P_Health_Tot|P_Tot_Tot,G50,Highest Non-School Qualification: Field of Study by Age by Sex
1,"High education and income, focus on health",1,P_Tot_Occ_Pro,PERSONS_Total_Occupation_Professionals,P_Tot_Occ_Pro|P_Total_Total,G51,Highest Non-School Qualification: Field of Study by Occupation by Sex
1,"High education and income, focus on health",1,M_5000over_1PF_C_und15,5000_and_over_One_parent_family_with_Children_under_15,M_5000over_1PF_C_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",1,P_3000_3499_Tot,PERSONS_3000_3499_Total,P_3000_3499_Tot|P_Tot_Tot,G17,Total Personal Income (Weekly) by Age by Sex
1,"High education and income, focus on health",1,P_Tot_Professionals,PERSONS_Total_Occupation_Professionals,P_Tot_Professionals|P_Tot_Tot,G60,Occupation by age by Sex
1,"High education and income, focus on health",1,Secondary_Other_non_Govt_P,Secondary_Other_non_Government_Persons,Secondary_Other_non_Govt_P|Secondary_Tot_Secondary_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
1,"High education and income, focus on health",1,P_Y12e_15_19,PERSONS_Year_12_or_equivalent_Age_15_19_years,P_Y12e_15_19|P_Y9e_15_19,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",1,P_Y12e_20_24,PERSONS_Year_12_or_equivalent_Age_20_24_years,P_Y12e_20_24|P_Tot_20_24_yrs,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",1,P_Y12e_65_74,PERSONS_Year_12_or_equivalent_Age_65_74_years,P_Y12e_65_74|P_Tot_65_74_yrs,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",1,P_Y12e_55_64,PERSONS_Year_12_or_equivalent_Age_55_64_years,P_Y12e_55_64|P_Tot_55_64_yrs,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",1,P_Y12e_75_84,PERSONS_Year_12_or_equivalent_Age_75_84_years,P_Y12e_75_84|P_Tot_75_84_yrs,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",1,P_Y12e_45_54,PERSONS_Year_12_or_equivalent_Age_45_54_years,P_Y12e_45_54|P_Tot_45_54_yrs,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",1,Primry_Othr_non_Govt_P,Primary_Other_non_Government_Persons,Primry_Othr_non_Govt_P|Primary_Tot_Primary_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
1,"High education and income, focus on health",1,P_Y12e_35_44,PERSONS_Year_12_or_equivalent_Age_35_44_years,P_Y12e_35_44|P_Tot_35_44_yrs,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",2,M_4000_4999_CF_C_und15,4000_4999_Couple_family_with_Children_under_15,M_4000_4999_CF_C_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",2,M_4000_4999_CFNC_und15,4000_4999_Couple_family_with_No_children_under_15,M_4000_4999_CFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",2,M_5000over_CFNC,5000_and_over_Couple_family_with_No_children,M_5000over_CFNC|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",2,P_75_84_yr_Marrd_reg_marrge,PERSONS_75_84_years_Married_in_a_registered_marriage,P_75_84_yr_Marrd_reg_marrge|P_75_84_yr_Total,G06,Social Marital Status by Age by Sex
1,"High education and income, focus on health",2,OPF_no_ChU15_a_DSs_no_NdCh_P,One_parent_family_with_no_children_under_15_and_with_dependent_students_and_no_non_dependent_children_Persons,OPF_no_ChU15_a_DSs_no_NdCh_P|OPF_Total_P,G29,Family Composition
1,"High education and income, focus on health",2,Total_NofB_6_or_m,Total_Number_of_bedrooms_Six_bedrooms_or_more,Total_NofB_6_or_m|Total_Total,G41,Dwelling Structure by Number of Bedrooms
1,"High education and income, focus on health",2,P_15_19_yr_Not_married,PERSONS_15_19_years_Not_married,P_15_19_yr_Not_married|P_15_19_yr_Total,G06,Social Marital Status by Age by Sex
1,"High education and income, focus on health",2,P_Emp_PartT_20_24,PERSONS_Employed_worked_Part_time_Age_20_24_years,P_Emp_PartT_20_24|P_Tot_20_24,G46,Labour Force Status by Age by Sex
1,"High education and income, focus on health",2,P_GradDip_and_GradCert_Total,PERSONS_Graduate_Diploma_and_Graduate_Certificate_Level_Total,P_GradDip_and_GradCert_Total|P_Tot_Total,G49,Highest Non-School Qualification:  Level of Education by Age by Sex
1,"High education and income, focus on health",2,P_NatPhyl_Scn_Tot,PERSONS_Natural_and_Physical_Sciences_Total,P_NatPhyl_Scn_Tot|P_Tot_Tot,G50,Highest Non-School Qualification: Field of Study by Age by Sex
1,"High education and income, focus on health",2,P_45_54_yr_Married,PERSONS_45_54_years_Married,P_45_54_yr_Married|P_45_54_yr_Tot,G05,Registered Marital Status by Age by Sex
1,"High education and income, focus on health",2,R_950_over_LT_Real_eSte_agent,950_and_over_Landlord_type_Real_estate_agent,R_950_over_LT_Real_eSte_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
1,"High education and income, focus on health",2,OPF_no_ChU15_a_DSs_no_NdCh_F,One_parent_family_with_no_children_under_15_and_with_dependent_students_and_no_non_dependent_children_Families,OPF_no_ChU15_a_DSs_no_NdCh_F|OPF_Total_F,G29,Family Composition
1,"High education and income, focus on health",2,P_Y12e_85ov,PERSONS_Year_12_or_equivalent_Age_85_years_and_over,P_Y12e_85ov|P_Tot_85ov,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",2,Tert_Uni_other_high_edu_Tot_P,Tertiary_University_or_other_higher_education_Total_Persons,Tert_Uni_other_high_edu_Tot_P|Tert_Tot_Tert_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
1,"High education and income, focus on health",2,P_75_84_No_need_for_assistnce,PERSONS_75_84_years_Does_not_have_need_for_assistance,P_75_84_No_need_for_assistnce|P_75_84_yrs_Tot,G18,Core Activity Need for Assistance by Age by Sex
1,"High education and income, focus on health",2,M_55_64y_DUDW_5_14_h,MALES_55_64_years_Did_unpaid_domestic_work_5_14_hours,M_55_64y_DUDW_5_14_h|M_55_64y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
1,"High education and income, focus on health",2,M_65_74y_DUDW_5_14_h,MALES_65_74_years_Did_unpaid_domestic_work_5_14_hours,M_65_74y_DUDW_5_14_h|M_65_74y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
1,"High education and income, focus on health",2,M_75_84y_DUDW_5_14_h,MALES_75_84_years_Did_unpaid_domestic_work_5_14_hours,M_75_84y_DUDW_5_14_h|M_75_84y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
1,"High education and income, focus on health",2,OPF_ChU15_a_DSs_a_no_NdCh_P,One_parent_family_with_children_under_15_and_dependent_students_and_no_non_dependent_children_Persons,OPF_ChU15_a_DSs_a_no_NdCh_P|OPF_Total_P,G29,Family Composition
1,"High education and income, focus on health",2,P_55_64_Prvided_unpaid_assist,PERSONS_55_64_years_Provided_unpaid_assistance,P_55_64_Prvided_unpaid_assist|P_55_64_Tot,G25,Unpaid Assistance to a Person with a Disability Health Condition or Due to Old Age by Age by Sex
1,"High education and income, focus on health",2,Age_psns_att_edu_inst_15_19_P,Age_of_Persons_attending_an_education_institution_15_19_years_Persons,Age_psns_att_edu_inst_15_19_P|Tot_P_P,G01,Selected Person Characteristics by Sex
1,"High education and income, focus on health",2,P_Ptn_in_RM_75_84,PERSONS_Partner_in_a_registered_marriage_Age_75_84_years,P_Ptn_in_RM_75_84|P_Tot_75_84,G27,Relationship in Household by Age by Sex
1,"High education and income, focus on health",2,P_Y12e_25_34,PERSONS_Year_12_or_equivalent_Age_25_34_years,P_Y12e_25_34|P_Tot_25_34_yrs,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",2,P_RentHirREserv_ToT,PERSONS_Rental_Hiring_and_Real_Estate_Services_Total,P_RentHirREserv_ToT|P_ToT_ToT,G53,Highest Non-School Qualification: Level of Education by Industry of Employment by Sex
1,"High education and income, focus on health",3,Judaism_P,Judaism_Persons,Judaism_P|Tot_P,G14,Religious Affiliation by Sex
1,"High education and income, focus on health",3,P_20_24_yr_Never_married,PERSONS_20_24_years_Never_married,P_20_24_yr_Never_married|P_20_24_yr_Tot,G05,Registered Marital Status by Age by Sex
1,"High education and income, focus on health",3,P_Y12e_Tot,PERSONS_Year_12_or_equivalent_Total,P_Y12e_Tot|P_Tot_Tot,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",3,P_Y11e_85ov,PERSONS_Year_11_or_equivalent_Age_85_years_and_over,P_Y11e_85ov|P_Tot_85ov,G16,Highest Year of School Completed by Age by Sex
1,"High education and income, focus on health",3,P_55_64_yr_Married,PERSONS_55_64_years_Married,P_55_64_yr_Married|P_55_64_yr_Tot,G05,Registered Marital Status by Age by Sex
